Adsorbate,Facet,CN,Site,n_metal,GCN,Valency,chi,Bader,ed,wd,E_bind,E_ads,n_H,n_H_NN
CH4,111,9,top,1,7.5,0,2.55,3.9468,-2.08,2.09,-0.232962,-24.290571,4,0
CH4,100,8,top,1,6.67,0,2.55,3.9468,-2,1.96,-0.234644,-24.292253,4,0
CH4,110,7,top,1,5.83,0,2.55,3.9468,-1.94,1.87,-0.213059,-24.270668,4,0
CH4,211,7,top,1,5.5,0,2.55,3.9468,-2.09,1.99,-0.209278,-24.266887,4,0
CH4,221,7,top,1,5.5,0,2.55,3.9468,-2.09,1.99,-0.232441,-24.29005,4,0
CH4,322,7,top,1,5.5,0,2.55,3.9468,-2.02,1.95,-0.216508,-24.274117,4,0
CH4,1AD_111,3,top,1,2.5,0,2.55,3.9468,-1.59,1.6,-0.257581,-24.31519,4,0
CH4,1AD_100,4,top,1,3,0,2.55,3.9468,-1.85,1.69,-0.146817,-24.204426,4,0
CH4,2AD_111,4,top,1,2.92,0,2.55,3.9468,-1.75,1.73,-0.209314,-24.266923,4,0
CH4,2AD_100,5,top,1,3.58,0,2.55,3.9468,-1.99,1.83,-0.161641,-24.21925,4,0
CH4,3AD_111,5,top,1,3.5,0,2.55,3.9468,-1.63,1.74,-0.330293,-24.387902,4,0
CH4,4AD_100,6,top,1,4.42,0,2.55,3.9468,-2.02,1.96,-0.187713,-24.245322,4,0
CH3,111,9,top,1,7.5,1,2.55,4.1985,-2.08,2.09,-2.24297,-20.460545,3,0
CH3,100,8,top,1,6.67,1,2.55,4.1985,-2,1.96,-2.334887,-20.552462,3,0
CH3,110,7,top,1,5.83,1,2.55,4.1985,-1.94,1.87,-2.392736,-20.610311,3,0
CH3,211,7,top,1,5.5,1,2.55,4.1985,-2.09,1.99,-2.305122,-20.522697,3,0
CH3,221,7,top,1,5.5,1,2.55,4.1985,-2.09,1.99,-2.28812,-20.505695,3,0
CH3,322,7,top,1,5.5,1,2.55,4.1985,-2.02,1.95,-2.300841,-20.518416,3,0
CH3,1AD_111,3,top,1,2.5,1,2.55,4.1985,-1.59,1.6,-2.224483,-20.442058,3,0
CH3,1AD_100,4,top,1,3,1,2.55,4.1985,-1.85,1.69,-2.336209,-20.553784,3,0
CH3,2AD_111,4,top,1,2.92,1,2.55,4.1985,-1.75,1.73,-2.409126,-20.626701,3,0
CH3,2AD_100,5,top,1,3.58,1,2.55,4.1985,-1.99,1.83,-2.352042,-20.569617,3,0
CH3,3AD_111,5,top,1,3.5,1,2.55,4.1985,-1.63,1.74,-2.620518,-20.838093,3,0
CH3,4AD_100,6,top,1,4.42,1,2.55,4.1985,-2.02,1.96,-2.322212,-20.539787,3,0
CH2,111,9,bridge,2,7.33,2,2.55,4.2835,-2.08,2.09,-4.170688,-16.299399,2,0
