Species,Facet,GCN,DFT_BE
CH4,111,7.5,-0.232962
CH4,100,6.67,-0.234644
CH4,110,5.83,-0.213059
CH4,211,5.5,-0.209278
CH4,221,5.5,-0.232441
CH4,322,5.5,-0.216508
CH4,1AD_111,2.5,-0.257581
CH4,1AD_100,3,-0.146817
CH4,2AD_111,2.92,-0.209314
CH4,2AD_100,3.58,-0.161641
CH4,3AD_111,3.5,-0.330293
CH4,4AD_100,4.42,-0.187713
CH3,111,7.5,-2.24297
CH3,100,6.67,-2.334887
CH3,110,5.83,-2.392736
CH3,211,5.5,-2.305122
CH3,221,5.5,-2.28812
CH3,322,5.5,-2.300841
CH3,1AD_111,2.5,-2.224483
CH3,1AD_100,3,-2.336209
CH3,2AD_111,2.92,-2.409126
CH3,2AD_100,3.58,-2.352042
CH3,3AD_111,3.5,-2.620518
CH3,4AD_100,4.42,-2.322212
CH2,111,7.33,-4.170688
CH2,100,6.67,-4.662551
CH2,110,5.78,-4.667886
CH2,211,5.39,-4.578436
CH2,221,5.44,-4.4544
CH2,322,5.39,-4.683179
CH2,2AD_111,2.83,-4.586207
CH2,2AD_100,3.11,-4.437673
CH2,3AD_111,3.17,-4.512873
CH2,4AD_100,4,-4.310429
H,111,7.5,-2.726343
H,100,6.67,-2.910044
H,110,5.78,-2.862193
H,211,5.39,-2.872492
H,221,5.5,-2.752728
H,322,5.39,-2.92573
H,1AD_111,2.5,-2.44752
H,1AD_100,3,-2.548152
H,2AD_111,2.83,-2.858816
H,2AD_100,3.11,-2.905145
H,3AD_111,3.17,-2.842838
H,4AD_100,4,-2.837509
CO2,111,7.5,-0.253019
CO2,100,6.67,-0.277038
CO2,110,5.83,-0.220719
CO2,211,5.5,-0.172185
CO2,221,5.5,-0.267243
CO2,322,5.5,-0.204304
CO2,1AD_111,2.5,-0.111448
CO2,1AD_100,3,-0.123021
CO2,2AD_111,2.92,-0.217171
CO2,2AD_100,3.58,-0.190829
CO2,3AD_111,3.5,-0.22055
CO2,4AD_100,4.42,-0.234017
CO,111,6.95,-1.845575
CO,100,6.67,-2.292187
CO,110,5.78,-2.236544
CO,211,5.39,-2.121593
CO,221,5.5,-2.115336
CO,322,5.39,-2.234339
CO,1AD_111,2.5,-1.991475
CO,1AD_100,3,-1.963632
CO,2AD_111,2.92,-2.391181
CO,2AD_100,3.58,-2.135737
CO,3AD_111,3.5,-2.53104
CO,4AD_100,4.42,-2.149453
COH,111,6.95,-4.703169
COH,100,6.67,-4.930914
COH,110,5.78,-4.730332
COH,211,5.39,-4.673245
COH,221,5.44,-4.513376
COH,322,5.39,-4.797391
COH,2AD_100,3.11,-4.430257
COH,2AD_111,2.83,-4.605185
COH,3AD_111,3.27,-4.895756
COH,4AD_100,4,-4.390814
CHO,111,7.5,-2.637234
CHO,100,6.67,-2.762048
CHO,110,5.83,-2.859443
CHO,211,5.5,-2.719883
CHO,221,5.5,-2.685714
CHO,322,5.5,-2.72563
CHO,1AD_100,3,-2.591368
CHO,1AD_111,2.5,-2.634499
CHO,2AD_100,3.58,-2.603494
CHO,2AD_111,2.92,-2.861791
CHO,4AD_100,4.42,-2.702038
CHO,3AD_111,3.5,-2.977021
COOH,111,7.5,-2.635298
COOH,100,6.67,-2.761332
COOH,110,5.83,-2.84136
COOH,211,5.5,-2.705703
COOH,221,5.5,-2.72061
COOH,322,5.5,-2.7032
COOH,1AD_111,2.5,-2.752722
COOH,1AD_100,3,-2.526069
COOH,2AD_100,3.58,-2.671716
COOH,2AD_111,2.92,-2.799082
COOH,3AD_111,3.5,-2.858218
COOH,4AD_100,4.42,-2.730341
CH,111,7.5,-6.489874
CH,111,6.95,-6.597872
CH,110,6.41,-6.446187
CH,211,6,-6.571989
CH,211,6,-6.436846
CH,221,5.41,-6.567424
CH,221,6.41,-6.468766
CH,322,7.09,-6.621656
CH,322,7.59,-6.489907
CH,322,6.77,-6.585069
CH,3AD_111,3.27,-6.844577
C,111,6.95,-6.934547
C,111,7.5,-6.775635
C,110,6.41,-7.36279
C,211,6,-7.014623
C,211,6,-7.12921
C,221,6.41,-7.07081
C,322,7.59,-6.759616
C,322,6.77,-6.944187
C,3AD_111,3.27,-8.220229
H2O,111,7.5,-0.390334
H2O,100,6.67,-0.449154
H2O,110,5.83,-0.640036
H2O,211,5.5,-0.523673
H2O,221,5.5,-0.532614
H2O,322,5.5,-0.51751
H2O,1AD_111,2.5,-0.83032
H2O,1AD_100,3,-0.703115
H2O,2AD_111,2.92,-0.857519
H2O,2AD_100,3.58,-0.670416
H2O,3AD_111,3.5,-0.875463
H2O,4AD_100,4.42,-0.627916
O2,111,7.5,-0.456359
O2,110,5.83,-1.35739
O2,211,5.5,-1.263039
O2,221,5.5,-1.352214
O2,322,5.5,-1.343302
O2,2AD_111,2.92,-1.857908
O2,3AD_111,3.5,-1.739305
O2,4AD_100,4.42,-1.337195
OH,111,7.5,-2.145262
OH,100,6.67,-2.824121
OH,110,5.78,-2.735594
OH,211,5.39,-2.891364
OH,221,5.44,-2.68252
OH,322,5.39,-2.924647
OH,1AD_100,3,-2.938949
OH,1AD_111,2.5,-3.008251
OH,2AD_100,3.11,-2.919547
OH,2AD_111,2.83,-3.175744
OH,3AD_111,3.17,-3.099913
OH,4AD_100,4,-2.894051
O,111,6.95,-4.166493
O,100,6.67,-4.449018
O,110,5.78,-4.54898
O,211,5.39,-4.61767
O,221,5.44,-4.435709
O,322,5.39,-4.681076
O,2AD_100,3.11,-4.806917
O,2AD_111,2.83,-4.82809
O,3AD_111,3.27,-4.812312
O,4AD_100,4,-4.628504
CHOO,111,7.5,-2.437544
CHOO,100,6.67,-2.784087
CHOO,110,5.83,-3.004576
CHOO,211,5.5,-3.008512
CHOO,221,5.5,-3.193006
CHOO,322,5.5,-3.040183
CHOO,2AD_100,3.58,-3.078561
CHOO,2AD_111,2.92,-3.402674
CHOO,3AD_111,3.5,-3.400209
CHOO,4AD_100,4.42,-2.982175
